"Control ID","Requirement","Result","Criticality","Details","OmittedEvaluationResult","OmittedEvaluationDetails","IncorrectResult","IncorrectResultDetails","OriginalResult","OriginalDetails","Comments","ResolutionDate","Non-Compliance Reason","Remediation Completion Date","Justification"
"MS.AAD.1.1v1","Legacy authentication SHALL be blocked.","Fail","Shall","0 conditional access policy(s) found that meet(s) all requirements. ","N/A","N/A","N/A","N/A","Fail","0 conditional access policy(s) found that meet(s) all requirements. <a href='#caps'>View all CA policies</a>.","System.Object[]",," "," "," "
"MS.AAD.2.1v1","Users detected as high risk SHALL be blocked.","Fail","Shall","0 conditional access policy(s) found that meet(s) all requirements. ","N/A","N/A","N/A","N/A","Fail","0 conditional access policy(s) found that meet(s) all requirements. <a href='#caps'>View all CA policies</a>.","System.Object[]",," "," "," "
"MS.AAD.2.2v1","A notification SHOULD be sent to the administrator when high-risk users are detected.","N/A","Should/Not-Implemented","This product does not currently have the capability to check compliance for this policy. See Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.7.1/PowerShell/ScubaGear/baselines/aad.md#msaad22v1 for instructions on manual check","N/A","N/A","N/A","N/A","N/A","This product does not currently have the capability to check compliance for this policy. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.7.1/PowerShell/ScubaGear/baselines/aad.md#msaad22v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","System.Object[]",,,,
"MS.AAD.2.3v1","Sign-ins detected as high risk SHALL be blocked.","Fail","Shall","0 conditional access policy(s) found that meet(s) all requirements. ","N/A","N/A","N/A","N/A","Fail","0 conditional access policy(s) found that meet(s) all requirements. <a href='#caps'>View all CA policies</a>.","System.Object[]",," "," "," "
"MS.AAD.3.1v1","Phishing-resistant MFA SHALL be enforced for all users.","Fail","Shall","0 conditional access policy(s) found that meet(s) all requirements. ","N/A","N/A","N/A","N/A","Fail","0 conditional access policy(s) found that meet(s) all requirements. <a href='#caps'>View all CA policies</a>.","System.Object[]",," "," "," "
"MS.AAD.3.2v1","If phishing-resistant MFA has not been enforced, an alternative MFA method SHALL be enforced for all users.","Fail","Shall","0 conditional access policy(s) found that meet(s) all requirements. ","N/A","N/A","N/A","N/A","Fail","0 conditional access policy(s) found that meet(s) all requirements. <a href='#caps'>View all CA policies</a>.","System.Object[]",," "," "," "
"MS.AAD.3.3v2","If Microsoft Authenticator is enabled, it SHALL be configured to show login context information.","Fail","Shall","Requirement not met","N/A","N/A","N/A","N/A","Fail","Requirement not met","System.Object[]",," "," "," "
"MS.AAD.3.4v1","The Authentication Methods Manage Migration feature SHALL be set to Migration Complete.","Pass","Shall","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",,,,
"MS.AAD.3.5v1","The authentication methods SMS, Voice Call, and Email One-Time Passcode (OTP) SHALL be disabled.","Fail","Shall","Sms, Voice, and Email authentication must be disabled.","N/A","N/A","N/A","N/A","Fail","Sms, Voice, and Email authentication must be disabled.","System.Object[]",," "," "," "
"MS.AAD.3.6v1","Phishing-resistant MFA SHALL be required for highly privileged roles.","Fail","Shall","0 conditional access policy(s) found that meet(s) all requirements. ","N/A","N/A","N/A","N/A","Fail","0 conditional access policy(s) found that meet(s) all requirements. <a href='#caps'>View all CA policies</a>.","System.Object[]",," "," "," "
"MS.AAD.3.7v1","Managed devices SHOULD be required for authentication.","Warning","Should","0 conditional access policy(s) found that meet(s) all requirements. ","N/A","N/A","N/A","N/A","Warning","0 conditional access policy(s) found that meet(s) all requirements. <a href='#caps'>View all CA policies</a>.","System.Object[]",,,,
"MS.AAD.3.8v1","Managed Devices SHOULD be required to register MFA.","Warning","Should","0 conditional access policy(s) found that meet(s) all requirements. ","N/A","N/A","N/A","N/A","Warning","0 conditional access policy(s) found that meet(s) all requirements. <a href='#caps'>View all CA policies</a>.","System.Object[]",,,,
"MS.AAD.3.9v1","Device code authentication SHOULD be blocked.","Warning","Should","0 conditional access policy(s) found that meet(s) all requirements. ","N/A","N/A","N/A","N/A","Warning","0 conditional access policy(s) found that meet(s) all requirements. <a href='#caps'>View all CA policies</a>.","System.Object[]",,,,
"MS.AAD.4.1v1","Security logs SHALL be sent to the agency's security operations center for monitoring.","N/A","Shall/Not-Implemented","This product does not currently have the capability to check compliance for this policy. See Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.7.1/PowerShell/ScubaGear/baselines/aad.md#msaad41v1 for instructions on manual check","N/A","N/A","N/A","N/A","N/A","This product does not currently have the capability to check compliance for this policy. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.7.1/PowerShell/ScubaGear/baselines/aad.md#msaad41v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","System.Object[]",,,,
"MS.AAD.5.1v1","Only administrators SHALL be allowed to register applications.","Fail","Shall","1 authorization policies found that allow non-admin users to register third-party applications: authorizationPolicy","N/A","N/A","N/A","N/A","Fail","1 authorization policies found that allow non-admin users to register third-party applications:<br/>authorizationPolicy","System.Object[]",," "," "," "
"MS.AAD.5.2v1","Only administrators SHALL be allowed to consent to applications.","Pass","Shall","0 authorization policies found that allow non-admin users to consent to third-party applications","N/A","N/A","N/A","N/A","Pass","0 authorization policies found that allow non-admin users to consent to third-party applications","System.Object[]",,,,
"MS.AAD.5.3v1","An admin consent workflow SHALL be configured for applications.","Fail","Shall","Requirement not met","N/A","N/A","N/A","N/A","Fail","Requirement not met","System.Object[]",," "," "," "
"MS.AAD.6.1v1","User passwords SHALL NOT expire.","Pass","Shall","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",,,,
"MS.AAD.7.1v1","A minimum of two users and a maximum of eight users SHALL be provisioned with the Global Administrator role.","Fail","Shall","1 global admin(s) found: Stephane EWERLING","N/A","N/A","N/A","N/A","Fail","1 global admin(s) found:<br/>Stephane EWERLING","System.Object[]",," "," "," "
"MS.AAD.7.2v1","Privileged users SHALL be provisioned with finer-grained roles instead of Global Administrator.","Fail","Shall","Requirement not met: Policy MS.AAD.7.1 failed so score not computed","N/A","N/A","N/A","N/A","Fail","Requirement not met: Policy MS.AAD.7.1 failed so score not computed","System.Object[]",," "," "," "
"MS.AAD.7.3v1","Privileged users SHALL be provisioned cloud-only accounts separate from an on-premises directory or other federated identity providers.","Pass","Shall","0 admin(s) that are not cloud-only found","N/A","N/A","N/A","N/A","Pass","0 admin(s) that are not cloud-only found","System.Object[]",,,,
"MS.AAD.7.4v1","Permanent active role assignments SHALL NOT be allowed for highly privileged roles.","Fail","Shall","1 role(s) that contain users with permanent active assignment: Global Administrator","N/A","N/A","N/A","N/A","Fail","1 role(s) that contain users with permanent active assignment:<br/>Global Administrator","System.Object[]",," "," "," "
"MS.AAD.7.5v1","Provisioning users to highly privileged roles SHALL NOT occur outside of a PAM system.","Fail","Shall","1 role(s) assigned to users outside of PIM: Global Administrator","N/A","N/A","N/A","N/A","Fail","1 role(s) assigned to users outside of PIM:<br/>Global Administrator","System.Object[]",," "," "," "
"MS.AAD.7.6v1","Activation of the Global Administrator role SHALL require approval.","Fail","Shall","1 role(s) or group(s) allowing activation without approval found: Global Administrator(Directory Role)","N/A","N/A","N/A","N/A","Fail","1 role(s) or group(s) allowing activation without approval found:<br/>Global Administrator(Directory Role)","System.Object[]",," "," "," "
"MS.AAD.7.7v1","Eligible and active highly privileged role assignments SHALL trigger an alert.","Fail","Shall","8 role(s) or group(s) without notification e-mail configured for role assignments found: Application Administrator(Directory Role), Cloud Application Administrator(Directory Role), Exchange Administrator(Directory Role), Global Administrator(Directory Role), Hybrid Identity Administrator(Directory Role), Privileged Role Administrator(Directory Role), SharePoint Administrator(Directory Role), User Administrator(Directory Role)","N/A","N/A","N/A","N/A","Fail","8 role(s) or group(s) without notification e-mail configured for role assignments found:<br/>Application Administrator(Directory Role), Cloud Application Administrator(Directory Role), Exchange Administrator(Directory Role), Global Administrator(Directory Role), Hybrid Identity Administrator(Directory Role), Privileged Role Administrator(Directory Role), SharePoint Administrator(Directory Role), User Administrator(Directory Role)","System.Object[]",," "," "," "
"MS.AAD.7.8v1","User activation of the Global Administrator role SHALL trigger an alert.","Fail","Shall","1 role(s) or group(s) without notification e-mail configured for Global Administrator activations found: Global Administrator(Directory Role)","N/A","N/A","N/A","N/A","Fail","1 role(s) or group(s) without notification e-mail configured for Global Administrator activations found:<br/>Global Administrator(Directory Role)","System.Object[]",," "," "," "
"MS.AAD.7.9v1","User activation of other highly privileged roles SHOULD trigger an alert.","Warning","Should","7 role(s) or group(s) without notification e-mail configured for role activations found: Application Administrator(Directory Role), Cloud Application Administrator(Directory Role), Exchange Administrator(Directory Role), Hybrid Identity Administrator(Directory Role), Privileged Role Administrator(Directory Role), SharePoint Administrator(Directory Role), User Administrator(Directory Role)","N/A","N/A","N/A","N/A","Warning","7 role(s) or group(s) without notification e-mail configured for role activations found:<br/>Application Administrator(Directory Role), Cloud Application Administrator(Directory Role), Exchange Administrator(Directory Role), Hybrid Identity Administrator(Directory Role), Privileged Role Administrator(Directory Role), SharePoint Administrator(Directory Role), User Administrator(Directory Role)","System.Object[]",,,,
"MS.AAD.8.1v1","Guest users SHOULD have limited or restricted access to Microsoft Entra ID directory objects.","Pass","Should","Permission level set to ""Limited access"" (authorizationPolicy)","N/A","N/A","N/A","N/A","Pass","Permission level set to ""Limited access"" (authorizationPolicy)","System.Object[]",,,,
"MS.AAD.8.2v1","Only users with the Guest Inviter role SHOULD be able to invite guest users.","Warning","Should","Permission level set to ""everyone"" (authorizationPolicy)","N/A","N/A","N/A","N/A","Warning","Permission level set to ""everyone"" (authorizationPolicy)","System.Object[]",,,,
"MS.AAD.8.3v1","Guest invites SHOULD only be allowed to specific external domains that have been authorized by the agency for legitimate business purposes.","N/A","Should/Not-Implemented","This product does not currently have the capability to check compliance for this policy. See Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.7.1/PowerShell/ScubaGear/baselines/aad.md#msaad83v1 for instructions on manual check","N/A","N/A","N/A","N/A","N/A","This product does not currently have the capability to check compliance for this policy. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.7.1/PowerShell/ScubaGear/baselines/aad.md#msaad83v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","System.Object[]",,,,
"MS.TEAMS.1.1v1","External meeting participants SHOULD NOT be enabled to request control of shared desktops or windows.","Pass","Should","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",,,,
"MS.TEAMS.1.2v2","Anonymous users SHALL NOT be enabled to start meetings.","Pass","Shall","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",,,,
"MS.TEAMS.1.3v1","Anonymous users and dial-in callers SHOULD NOT be admitted automatically.","Pass","Should","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",,,,
"MS.TEAMS.1.4v1","Internal users SHOULD be admitted automatically.","Pass","Should","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",,,,
"MS.TEAMS.1.5v1","Dial-in users SHOULD NOT be enabled to bypass the lobby.","Pass","Should","Requirement met","N/A","N/A","N/A","N/A","Pass","Requirement met","System.Object[]",,,,
"MS.TEAMS.1.6v1","Meeting recording SHOULD be disabled.","Warning","Should","Requirement not met","N/A","N/A","N/A","N/A","Warning","Requirement not met","System.Object[]",,,,
"MS.TEAMS.1.7v2","Record an event SHOULD NOT be set to Always record.","Warning","Should","Requirement not met","N/A","N/A","N/A","N/A","Warning","Requirement not met","System.Object[]",,,,
"MS.TEAMS.2.1v2","External access for users SHALL only be enabled on a per-domain basis.","Fail","Shall","1 meeting policy(ies) that allow external access across all domains: Global","N/A","N/A","N/A","N/A","Fail","1 meeting policy(ies) that allow external access across all domains: Global","System.Object[]",," "," "," "
"MS.TEAMS.2.2v2","Unmanaged users SHALL NOT be enabled to initiate contact with internal users.","Fail","Shall","1 Configuration allowed unmanaged users to initiate contact with internal user across domains: Global","N/A","N/A","N/A","N/A","Fail","1 Configuration allowed unmanaged users to initiate contact with internal user across domains: Global","System.Object[]",," "," "," "
"MS.TEAMS.2.3v2","Internal users SHOULD NOT be enabled to initiate contact with unmanaged users.","Warning","Should","1 Internal users are enabled to initiate contact with unmanaged users across domains: Global","N/A","N/A","N/A","N/A","Warning","1 Internal users are enabled to initiate contact with unmanaged users across domains: Global","System.Object[]",,,,
"MS.TEAMS.4.1v1","Teams email integration SHALL be disabled.","Fail","Shall","Requirement not met","N/A","N/A","N/A","N/A","Fail","Requirement not met","System.Object[]",," "," "," "
"MS.TEAMS.5.1v2","Agencies SHOULD only allow installation of Microsoft apps approved by the agency.","Warning","Should","1 app permission policy(ies) found that does not restrict installation of Microsoft Apps by default: Global","N/A","N/A","N/A","N/A","Warning","1 app permission policy(ies) found that does not restrict installation of Microsoft Apps by default: Global","System.Object[]",,,,
"MS.TEAMS.5.2v2","Agencies SHOULD only allow installation of third-party apps approved by the agency.","Warning","Should","1 app permission policy(ies) found that does not restrict installation of third-party apps by default: Global","N/A","N/A","N/A","N/A","Warning","1 app permission policy(ies) found that does not restrict installation of third-party apps by default: Global","System.Object[]",,,,
"MS.TEAMS.5.3v2","Agencies SHOULD only allow installation of custom apps approved by the agency.","Warning","Should","1 app permission policy(ies) found that does not restrict installation of custom apps by default: Global","N/A","N/A","N/A","N/A","Warning","1 app permission policy(ies) found that does not restrict installation of custom apps by default: Global","System.Object[]",,,,
"MS.TEAMS.6.1v1","A DLP solution SHALL be enabled and SHOULD offer services comparable to the native DLP solution offered by Microsoft.","N/A","Shall/3rd Party","A custom product can be used to fulfill this policy requirement. If a custom product is used, a 3rd party assessment tool or manual review is needed to ensure compliance. If you are using Defender for Office 365 to implement this policy, ensure when running ScubaGear that 'defender' is an argument to the -ProductNames parameter. Then, review the corresponding Defender policy that fulfills the requirements of this policy on the Defender ScubaGear HTML report. See the Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.7.1/PowerShell/ScubaGear/baselines/teams.md#msteams61v1 for instructions on a manual check.","N/A","N/A","N/A","N/A","N/A","A custom product can be used to fulfill this policy requirement. If a custom product is used, a 3rd party assessment tool or manual review is needed to ensure compliance. If you are using Defender for Office 365 to implement this policy, ensure when running ScubaGear that 'defender' is an argument to the -ProductNames parameter. Then, review the corresponding Defender policy that fulfills the requirements of this policy on the Defender ScubaGear HTML report. See the <a href=""https://github.com/cisagov/ScubaGear/blob/v1.7.1/PowerShell/ScubaGear/baselines/teams.md#msteams61v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on a manual check.","System.Object[]",,,,
"MS.TEAMS.6.2v1","The DLP solution SHALL protect personally identifiable information (PII) and sensitive information, as defined by the agency. At a minimum, sharing credit card numbers, taxpayer identification numbers (TINs), and Social Security numbers (SSNs) via email SHALL be restricted.","N/A","Shall/3rd Party","A custom product can be used to fulfill this policy requirement. If a custom product is used, a 3rd party assessment tool or manual review is needed to ensure compliance. If you are using Defender for Office 365 to implement this policy, ensure when running ScubaGear that 'defender' is an argument to the -ProductNames parameter. Then, review the corresponding Defender policy that fulfills the requirements of this policy on the Defender ScubaGear HTML report. See the Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.7.1/PowerShell/ScubaGear/baselines/teams.md#msteams62v1 for instructions on a manual check.","N/A","N/A","N/A","N/A","N/A","A custom product can be used to fulfill this policy requirement. If a custom product is used, a 3rd party assessment tool or manual review is needed to ensure compliance. If you are using Defender for Office 365 to implement this policy, ensure when running ScubaGear that 'defender' is an argument to the -ProductNames parameter. Then, review the corresponding Defender policy that fulfills the requirements of this policy on the Defender ScubaGear HTML report. See the <a href=""https://github.com/cisagov/ScubaGear/blob/v1.7.1/PowerShell/ScubaGear/baselines/teams.md#msteams62v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on a manual check.","System.Object[]",,,,
"MS.TEAMS.7.1v1","Attachments included with Teams messages SHOULD be scanned for malware.","N/A","Should/3rd Party","A custom product can be used to fulfill this policy requirement. If a custom product is used, a 3rd party assessment tool or manual review is needed to ensure compliance. If you are using Defender for Office 365 to implement this policy, ensure when running ScubaGear that 'defender' is an argument to the -ProductNames parameter. Then, review the corresponding Defender policy that fulfills the requirements of this policy on the Defender ScubaGear HTML report. See the Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.7.1/PowerShell/ScubaGear/baselines/teams.md#msteams71v1 for instructions on a manual check.","N/A","N/A","N/A","N/A","N/A","A custom product can be used to fulfill this policy requirement. If a custom product is used, a 3rd party assessment tool or manual review is needed to ensure compliance. If you are using Defender for Office 365 to implement this policy, ensure when running ScubaGear that 'defender' is an argument to the -ProductNames parameter. Then, review the corresponding Defender policy that fulfills the requirements of this policy on the Defender ScubaGear HTML report. See the <a href=""https://github.com/cisagov/ScubaGear/blob/v1.7.1/PowerShell/ScubaGear/baselines/teams.md#msteams71v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on a manual check.","System.Object[]",,,,
"MS.TEAMS.7.2v1","Users SHOULD be prevented from opening or downloading files detected as malware.","N/A","Should/3rd Party","A custom product can be used to fulfill this policy requirement. If a custom product is used, a 3rd party assessment tool or manual review is needed to ensure compliance. If you are using Defender for Office 365 to implement this policy, ensure when running ScubaGear that 'defender' is an argument to the -ProductNames parameter. Then, review the corresponding Defender policy that fulfills the requirements of this policy on the Defender ScubaGear HTML report. See the Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.7.1/PowerShell/ScubaGear/baselines/teams.md#msteams72v1 for instructions on a manual check.","N/A","N/A","N/A","N/A","N/A","A custom product can be used to fulfill this policy requirement. If a custom product is used, a 3rd party assessment tool or manual review is needed to ensure compliance. If you are using Defender for Office 365 to implement this policy, ensure when running ScubaGear that 'defender' is an argument to the -ProductNames parameter. Then, review the corresponding Defender policy that fulfills the requirements of this policy on the Defender ScubaGear HTML report. See the <a href=""https://github.com/cisagov/ScubaGear/blob/v1.7.1/PowerShell/ScubaGear/baselines/teams.md#msteams72v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on a manual check.","System.Object[]",,,,
"MS.TEAMS.8.1v1","URL comparison with a blocklist SHOULD be enabled.","N/A","Should/3rd Party","A custom product can be used to fulfill this policy requirement. If a custom product is used, a 3rd party assessment tool or manual review is needed to ensure compliance. If you are using Defender for Office 365 to implement this policy, ensure when running ScubaGear that 'defender' is an argument to the -ProductNames parameter. Then, review the corresponding Defender policy that fulfills the requirements of this policy on the Defender ScubaGear HTML report. See the Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.7.1/PowerShell/ScubaGear/baselines/teams.md#msteams81v1 for instructions on a manual check.","N/A","N/A","N/A","N/A","N/A","A custom product can be used to fulfill this policy requirement. If a custom product is used, a 3rd party assessment tool or manual review is needed to ensure compliance. If you are using Defender for Office 365 to implement this policy, ensure when running ScubaGear that 'defender' is an argument to the -ProductNames parameter. Then, review the corresponding Defender policy that fulfills the requirements of this policy on the Defender ScubaGear HTML report. See the <a href=""https://github.com/cisagov/ScubaGear/blob/v1.7.1/PowerShell/ScubaGear/baselines/teams.md#msteams81v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on a manual check.","System.Object[]",,,,
"MS.TEAMS.8.2v1","User click tracking SHOULD be enabled.","N/A","Should/3rd Party","A custom product can be used to fulfill this policy requirement. If a custom product is used, a 3rd party assessment tool or manual review is needed to ensure compliance. If you are using Defender for Office 365 to implement this policy, ensure when running ScubaGear that 'defender' is an argument to the -ProductNames parameter. Then, review the corresponding Defender policy that fulfills the requirements of this policy on the Defender ScubaGear HTML report. See the Secure Configuration Baseline policy, https://github.com/cisagov/ScubaGear/blob/v1.7.1/PowerShell/ScubaGear/baselines/teams.md#msteams82v1 for instructions on a manual check.","N/A","N/A","N/A","N/A","N/A","A custom product can be used to fulfill this policy requirement. If a custom product is used, a 3rd party assessment tool or manual review is needed to ensure compliance. If you are using Defender for Office 365 to implement this policy, ensure when running ScubaGear that 'defender' is an argument to the -ProductNames parameter. Then, review the corresponding Defender policy that fulfills the requirements of this policy on the Defender ScubaGear HTML report. See the <a href=""https://github.com/cisagov/ScubaGear/blob/v1.7.1/PowerShell/ScubaGear/baselines/teams.md#msteams82v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on a manual check.","System.Object[]",,,,
